id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
6,late outbreak,short,10,outbreak,1,,sdlog,0.62,0.59,0.39,0.42,0.49,0.54,0.65,0.74,0.93,1.1
7,near peak,long,10,outbreak,1,,sdlog,1,0.96,0.58,0.62,0.75,0.86,1.1,1.3,1.7,2
8,near peak,medium,10,outbreak,1,,sdlog,0.55,0.51,0.31,0.33,0.4,0.46,0.57,0.67,0.92,1.1
9,near peak,short,10,outbreak,1,,sdlog,0.38,0.34,0.2,0.21,0.26,0.3,0.39,0.47,0.64,0.76
10,past peak,long,10,outbreak,1,,sdlog,1.1,1,0.68,0.73,0.86,0.94,1.1,1.3,1.6,1.8
11,past peak,medium,10,outbreak,1,,sdlog,0.86,0.81,0.53,0.56,0.66,0.74,0.9,1,1.3,1.5
12,past peak,short,10,outbreak,1,,sdlog,0.79,0.74,0.47,0.51,0.6,0.66,0.82,0.95,1.2,1.4
13,early outbreak,long,100,outbreak,1,,sdlog,0.59,0.58,0.46,0.48,0.52,0.55,0.61,0.64,0.72,0.76
14,early outbreak,medium,100,outbreak,1,,sdlog,0.4,0.4,0.32,0.33,0.36,0.38,0.42,0.44,0.5,0.52
15,early outbreak,short,100,outbreak,1,,sdlog,0.53,0.52,0.41,0.43,0.47,0.5,0.55,0.59,0.66,0.7
16,late outbreak,long,100,outbreak,1,,sdlog,0.82,0.82,0.72,0.73,0.77,0.8,0.84,0.87,0.93,0.95
17,late outbreak,medium,100,outbreak,1,,sdlog,0.59,0.59,0.51,0.52,0.55,0.57,0.6,0.62,0.66,0.67
18,late outbreak,short,100,outbreak,1,,sdlog,0.44,0.44,0.38,0.39,0.41,0.43,0.45,0.46,0.49,0.5
19,near peak,long,100,outbreak,1,,sdlog,0.72,0.71,0.61,0.63,0.67,0.69,0.74,0.77,0.82,0.85
20,near peak,medium,100,outbreak,1,,sdlog,0.51,0.51,0.44,0.45,0.48,0.49,0.53,0.55,0.59,0.61
21,near peak,short,100,outbreak,1,,sdlog,0.39,0.38,0.33,0.34,0.36,0.37,0.4,0.41,0.45,0.46
22,past peak,long,100,outbreak,1,,sdlog,0.67,0.67,0.58,0.59,0.63,0.65,0.69,0.71,0.76,0.78
23,past peak,medium,100,outbreak,1,,sdlog,0.59,0.59,0.51,0.52,0.55,0.57,0.6,0.62,0.66,0.68
24,past peak,short,100,outbreak,1,,sdlog,0.42,0.42,0.37,0.37,0.4,0.41,0.43,0.45,0.48,0.49
25,early outbreak,long,200,outbreak,1,,sdlog,0.58,0.58,0.5,0.52,0.55,0.56,0.6,0.62,0.66,0.68
26,early outbreak,medium,200,outbreak,1,,sdlog,0.53,0.53,0.45,0.46,0.49,0.51,0.55,0.57,0.62,0.65
27,early outbreak,short,200,outbreak,1,,sdlog,0.36,0.36,0.3,0.31,0.33,0.34,0.37,0.39,0.42,0.43
28,late outbreak,long,200,outbreak,1,,sdlog,0.83,0.82,0.75,0.76,0.79,0.81,0.84,0.86,0.89,0.91
29,late outbreak,medium,200,outbreak,1,,sdlog,0.64,0.64,0.58,0.59,0.61,0.62,0.65,0.66,0.69,0.7
30,late outbreak,short,200,outbreak,1,,sdlog,0.45,0.44,0.4,0.41,0.43,0.44,0.45,0.46,0.48,0.49
31,near peak,long,200,outbreak,1,,sdlog,0.62,0.62,0.56,0.56,0.59,0.6,0.63,0.65,0.68,0.69
32,near peak,medium,200,outbreak,1,,sdlog,0.58,0.58,0.52,0.53,0.55,0.56,0.59,0.61,0.63,0.64
33,near peak,short,200,outbreak,1,,sdlog,0.38,0.38,0.34,0.35,0.36,0.37,0.39,0.4,0.42,0.43
34,past peak,long,200,outbreak,1,,sdlog,0.71,0.71,0.64,0.65,0.68,0.69,0.72,0.74,0.77,0.78
35,past peak,medium,200,outbreak,1,,sdlog,0.62,0.62,0.56,0.57,0.59,0.6,0.63,0.64,0.67,0.69
36,past peak,short,200,outbreak,1,,sdlog,0.46,0.46,0.41,0.42,0.44,0.45,0.47,0.48,0.5,0.51
37,early outbreak,long,400,outbreak,1,,sdlog,0.63,0.63,0.57,0.57,0.6,0.62,0.64,0.66,0.69,0.71
38,early outbreak,medium,400,outbreak,1,,sdlog,0.54,0.54,0.48,0.49,0.51,0.53,0.55,0.57,0.59,0.6
39,early outbreak,short,400,outbreak,1,,sdlog,0.44,0.44,0.39,0.39,0.41,0.43,0.45,0.46,0.49,0.5
40,late outbreak,long,400,outbreak,1,,sdlog,0.75,0.75,0.7,0.71,0.73,0.74,0.76,0.77,0.8,0.81
41,late outbreak,medium,400,outbreak,1,,sdlog,0.64,0.64,0.6,0.6,0.62,0.63,0.65,0.66,0.68,0.68
42,late outbreak,short,400,outbreak,1,,sdlog,0.43,0.43,0.4,0.41,0.42,0.42,0.43,0.44,0.45,0.46
43,near peak,long,400,outbreak,1,,sdlog,0.67,0.67,0.61,0.62,0.64,0.66,0.68,0.69,0.72,0.73
44,near peak,medium,400,outbreak,1,,sdlog,0.57,0.57,0.53,0.54,0.55,0.56,0.58,0.59,0.61,0.62
45,near peak,short,400,outbreak,1,,sdlog,0.4,0.4,0.37,0.37,0.39,0.39,0.41,0.41,0.43,0.44
46,past peak,long,400,outbreak,1,,sdlog,0.74,0.74,0.69,0.7,0.72,0.73,0.75,0.76,0.78,0.79
47,past peak,medium,400,outbreak,1,,sdlog,0.56,0.55,0.52,0.52,0.54,0.55,0.56,0.57,0.59,0.6
48,past peak,short,400,outbreak,1,,sdlog,0.43,0.43,0.4,0.4,0.41,0.42,0.43,0.44,0.45,0.46
49,decay,long,200,exponential,1,,sdlog,0.65,0.65,0.59,0.6,0.62,0.64,0.66,0.68,0.71,0.72
50,decay,medium,200,exponential,1,,sdlog,0.63,0.63,0.57,0.58,0.6,0.61,0.64,0.65,0.68,0.7
51,decay,short,200,exponential,1,,sdlog,0.47,0.47,0.42,0.43,0.45,0.46,0.48,0.49,0.51,0.52
52,fast decay,long,200,exponential,1,,sdlog,0.76,0.75,0.69,0.7,0.72,0.74,0.77,0.79,0.82,0.83
53,fast decay,medium,200,exponential,1,,sdlog,0.56,0.56,0.51,0.52,0.54,0.55,0.57,0.59,0.61,0.62
54,fast decay,short,200,exponential,1,,sdlog,0.44,0.44,0.4,0.41,0.42,0.43,0.45,0.46,0.48,0.49
55,fast growth,long,200,exponential,1,,sdlog,0.6,0.6,0.52,0.53,0.56,0.58,0.62,0.64,0.69,0.71
56,fast growth,medium,200,exponential,1,,sdlog,0.51,0.51,0.44,0.45,0.47,0.49,0.52,0.54,0.58,0.59
57,fast growth,short,200,exponential,1,,sdlog,0.46,0.46,0.39,0.4,0.43,0.44,0.47,0.49,0.53,0.55
58,growth,long,200,exponential,1,,sdlog,0.71,0.71,0.63,0.64,0.67,0.69,0.73,0.75,0.79,0.81
59,growth,medium,200,exponential,1,,sdlog,0.55,0.55,0.49,0.5,0.52,0.54,0.56,0.58,0.61,0.62
60,growth,short,200,exponential,1,,sdlog,0.4,0.4,0.35,0.36,0.38,0.39,0.41,0.42,0.45,0.46
61,stable,long,200,exponential,1,,sdlog,0.66,0.66,0.6,0.61,0.63,0.65,0.68,0.69,0.73,0.74
62,stable,medium,200,exponential,1,,sdlog,0.58,0.58,0.52,0.53,0.56,0.57,0.59,0.61,0.63,0.64
63,stable,short,200,exponential,1,,sdlog,0.39,0.39,0.35,0.36,0.37,0.39,0.4,0.41,0.43,0.44
64,120 days,,834,ebola_case_study,,real-time,sdlog,0.56,0.56,0.53,0.53,0.55,0.55,0.56,0.57,0.58,0.59
65,120 days,,1032,ebola_case_study,,retrospective,sdlog,0.55,0.55,0.52,0.53,0.54,0.54,0.55,0.56,0.57,0.57
66,180 days,,3149,ebola_case_study,,real-time,sdlog,0.47,0.47,0.46,0.46,0.46,0.46,0.47,0.47,0.48,0.48
67,180 days,,3532,ebola_case_study,,retrospective,sdlog,0.51,0.51,0.49,0.5,0.5,0.5,0.51,0.51,0.52,0.52
68,240 days,,2399,ebola_case_study,,real-time,sdlog,0.59,0.59,0.57,0.57,0.58,0.59,0.59,0.6,0.6,0.61
69,240 days,,2483,ebola_case_study,,retrospective,sdlog,0.6,0.6,0.58,0.58,0.59,0.59,0.6,0.61,0.61,0.62
70,60 days,,401,ebola_case_study,,real-time,sdlog,0.39,0.39,0.37,0.37,0.38,0.39,0.4,0.41,0.42,0.42
71,60 days,,428,ebola_case_study,,retrospective,sdlog,0.45,0.45,0.42,0.43,0.44,0.45,0.46,0.46,0.48,0.48
1,early outbreak,long,10,outbreak,1,,mean,Inf,12,3.8,5.3,9.7,11,19,110,4.3e+11,9.5e+29
2,early outbreak,medium,10,outbreak,1,,mean,1.5e+256,3.5,1.5,1.8,2.5,3,4.5,7.6,200,7500
3,early outbreak,short,10,outbreak,1,,mean,Inf,9.9,2.6,3.2,5.3,7.2,16,47,1e+05,6.3e+10
4,late outbreak,long,10,outbreak,1,,mean,8.5,7.4,4.7,5,6,6.7,8.2,9.5,13,16
5,late outbreak,medium,10,outbreak,1,,mean,9.2,8.1,4.8,5.3,6.4,7.3,9.1,11,16,20
6,late outbreak,short,10,outbreak,1,,mean,4.3,4,2.8,2.9,3.4,3.7,4.3,4.8,6.3,7.2
7,near peak,long,10,outbreak,1,,mean,53,5.6,2.7,3,4,4.8,6.8,9.2,20,34
8,near peak,medium,10,outbreak,1,,mean,6.1,5.6,3.8,4.1,4.8,5.2,6.1,6.9,9.1,11
9,near peak,short,10,outbreak,1,,mean,3.5,3.4,2.5,2.7,3,3.2,3.6,3.9,4.6,5.1
10,past peak,long,10,outbreak,1,,mean,14,11,5.5,6.1,7.8,9.2,13,16,28,38
11,past peak,medium,10,outbreak,1,,mean,6.7,5.7,3.4,3.7,4.5,5,6.5,7.8,12,16
12,past peak,short,10,outbreak,1,,mean,4.8,4.2,2.5,2.7,3.3,3.7,4.7,5.7,8.6,10
13,early outbreak,long,100,outbreak,1,,mean,5.4,5.4,4.4,4.5,4.9,5.1,5.6,5.9,6.5,6.8
14,early outbreak,medium,100,outbreak,1,,mean,4.2,4.2,3.7,3.8,4,4.1,4.3,4.5,4.8,4.9
15,early outbreak,short,100,outbreak,1,,mean,4.2,4.2,3.4,3.6,3.8,4,4.4,4.6,5.1,5.4
16,late outbreak,long,100,outbreak,1,,mean,8.4,8.3,7,7.2,7.7,8,8.6,9,9.8,10
17,late outbreak,medium,100,outbreak,1,,mean,6.3,6.3,5.6,5.7,6,6.1,6.5,6.6,7,7.2
18,late outbreak,short,100,outbreak,1,,mean,3.8,3.8,3.4,3.5,3.6,3.7,3.8,3.9,4.1,4.1
19,near peak,long,100,outbreak,1,,mean,5.8,5.8,4.9,5,5.4,5.6,6,6.3,6.8,7.1
20,near peak,medium,100,outbreak,1,,mean,5.6,5.6,5,5.1,5.3,5.5,5.7,5.9,6.2,6.4
21,near peak,short,100,outbreak,1,,mean,3.6,3.6,3.3,3.3,3.4,3.5,3.6,3.7,3.9,3.9
22,past peak,long,100,outbreak,1,,mean,7,7,6.1,6.2,6.6,6.8,7.2,7.4,7.9,8.1
23,past peak,medium,100,outbreak,1,,mean,6,6,5.3,5.4,5.7,5.8,6.1,6.3,6.7,6.8
24,past peak,short,100,outbreak,1,,mean,3.5,3.5,3.2,3.3,3.4,3.4,3.6,3.6,3.8,3.9
25,early outbreak,long,200,outbreak,1,,mean,5.4,5.3,4.7,4.8,5.1,5.2,5.5,5.6,6,6.1
26,early outbreak,medium,200,outbreak,1,,mean,5,4.9,4.3,4.4,4.6,4.8,5.1,5.3,5.6,5.8
27,early outbreak,short,200,outbreak,1,,mean,3.4,3.4,3.1,3.1,3.2,3.3,3.4,3.5,3.7,3.7
28,late outbreak,long,200,outbreak,1,,mean,7.3,7.2,6.4,6.5,6.9,7.1,7.4,7.7,8.2,8.4
29,late outbreak,medium,200,outbreak,1,,mean,6.3,6.3,5.8,5.8,6.1,6.2,6.5,6.6,6.9,7
30,late outbreak,short,200,outbreak,1,,mean,3.6,3.6,3.4,3.4,3.5,3.6,3.7,3.7,3.8,3.9
31,near peak,long,200,outbreak,1,,mean,6.8,6.7,6.1,6.2,6.4,6.6,6.9,7.1,7.4,7.6
32,near peak,medium,200,outbreak,1,,mean,6.2,6.2,5.6,5.7,5.9,6.1,6.3,6.4,6.7,6.8
33,near peak,short,200,outbreak,1,,mean,3.4,3.4,3.2,3.3,3.3,3.4,3.5,3.5,3.6,3.7
34,past peak,long,200,outbreak,1,,mean,7,7,6.3,6.4,6.7,6.9,7.2,7.4,7.7,7.9
35,past peak,medium,200,outbreak,1,,mean,6.4,6.4,5.8,5.9,6.1,6.2,6.5,6.7,6.9,7
36,past peak,short,200,outbreak,1,,mean,3.4,3.4,3.2,3.2,3.3,3.4,3.5,3.5,3.7,3.7
37,early outbreak,long,400,outbreak,1,,mean,5.4,5.4,4.9,4.9,5.2,5.3,5.5,5.7,6,6.1
38,early outbreak,medium,400,outbreak,1,,mean,4.7,4.7,4.3,4.4,4.5,4.6,4.8,4.9,5.1,5.2
39,early outbreak,short,400,outbreak,1,,mean,3.7,3.7,3.4,3.4,3.6,3.6,3.8,3.8,4,4
40,late outbreak,long,400,outbreak,1,,mean,7.6,7.6,7,7.1,7.3,7.5,7.7,7.9,8.2,8.3
41,late outbreak,medium,400,outbreak,1,,mean,5.9,5.9,5.6,5.6,5.8,5.9,6,6.1,6.3,6.4
42,late outbreak,short,400,outbreak,1,,mean,3.7,3.7,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.8
43,near peak,long,400,outbreak,1,,mean,6,6,5.6,5.6,5.8,5.9,6.1,6.2,6.5,6.6
44,near peak,medium,400,outbreak,1,,mean,5.4,5.4,5,5.1,5.2,5.3,5.5,5.6,5.8,5.8
45,near peak,short,400,outbreak,1,,mean,3.5,3.5,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.7
46,past peak,long,400,outbreak,1,,mean,6.8,6.8,6.2,6.3,6.5,6.6,6.9,7,7.3,7.4
47,past peak,medium,400,outbreak,1,,mean,5.9,5.9,5.5,5.6,5.7,5.8,5.9,6,6.2,6.2
48,past peak,short,400,outbreak,1,,mean,3.5,3.5,3.4,3.4,3.4,3.5,3.5,3.6,3.7,3.7
49,decay,long,200,exponential,1,,mean,7.1,7.1,6.4,6.5,6.8,7,7.3,7.4,7.8,7.9
50,decay,medium,200,exponential,1,,mean,5.1,5.1,4.7,4.7,4.9,5,5.2,5.3,5.6,5.7
51,decay,short,200,exponential,1,,mean,3.6,3.6,3.4,3.4,3.5,3.6,3.7,3.7,3.8,3.9
52,fast decay,long,200,exponential,1,,mean,7.6,7.5,6.7,6.9,7.2,7.4,7.7,8,8.4,8.6
53,fast decay,medium,200,exponential,1,,mean,5.9,5.9,5.4,5.5,5.7,5.8,6,6.1,6.4,6.5
54,fast decay,short,200,exponential,1,,mean,3.6,3.6,3.3,3.4,3.5,3.5,3.6,3.7,3.8,3.8
55,fast growth,long,200,exponential,1,,mean,6.3,6.3,5.5,5.6,5.9,6.1,6.5,6.7,7.2,7.3
56,fast growth,medium,200,exponential,1,,mean,5.6,5.6,5,5.1,5.3,5.5,5.7,5.9,6.2,6.4
57,fast growth,short,200,exponential,1,,mean,3.4,3.4,3,3.1,3.2,3.3,3.4,3.5,3.7,3.8
58,growth,long,200,exponential,1,,mean,6.2,6.1,5.4,5.5,5.8,6,6.3,6.5,7,7.1
59,growth,medium,200,exponential,1,,mean,5.2,5.2,4.7,4.8,5,5.1,5.3,5.5,5.7,5.8
60,growth,short,200,exponential,1,,mean,3.4,3.4,3.1,3.2,3.3,3.3,3.4,3.5,3.6,3.7
61,stable,long,200,exponential,1,,mean,6.8,6.8,6.1,6.2,6.5,6.6,7,7.1,7.5,7.7
62,stable,medium,200,exponential,1,,mean,6.2,6.1,5.6,5.7,5.9,6,6.2,6.4,6.6,6.8
63,stable,short,200,exponential,1,,mean,3.5,3.5,3.3,3.3,3.4,3.4,3.5,3.6,3.7,3.8
64,120 days,,834,ebola_case_study,,real-time,mean,5.9,5.9,5.6,5.7,5.8,5.8,5.9,6,6.1,6.1
65,120 days,,1032,ebola_case_study,,retrospective,mean,6.2,6.2,5.9,6,6.1,6.1,6.2,6.3,6.4,6.4
66,180 days,,3149,ebola_case_study,,real-time,mean,7.1,7,6.9,6.9,7,7,7.1,7.1,7.2,7.2
67,180 days,,3532,ebola_case_study,,retrospective,mean,7,7,6.9,6.9,7,7,7,7.1,7.1,7.1
68,240 days,,2399,ebola_case_study,,real-time,mean,5.3,5.3,5.2,5.2,5.3,5.3,5.4,5.4,5.4,5.5
69,240 days,,2483,ebola_case_study,,retrospective,mean,5.3,5.3,5.1,5.2,5.2,5.2,5.3,5.3,5.4,5.4
70,60 days,,401,ebola_case_study,,real-time,mean,5.5,5.5,5.2,5.3,5.4,5.4,5.5,5.6,5.7,5.7
71,60 days,,428,ebola_case_study,,retrospective,mean,5.5,5.5,5.3,5.3,5.4,5.5,5.6,5.6,5.7,5.8
1,early outbreak,long,10,outbreak,1,,sd,Inf,7,0.43,0.52,1.5,3.2,27,1400,5.8e+23,3.2e+59
2,early outbreak,medium,10,outbreak,1,,sd,Inf,2.3,0.59,0.67,1.1,1.5,4.4,15,12000,2.3e+07
3,early outbreak,short,10,outbreak,1,,sd,Inf,14,2,2.4,4.4,7.6,38,360,3.3e+09,8.2e+20
4,late outbreak,long,10,outbreak,1,,sd,110,6,2.8,3.2,4.2,5,7.4,9.6,20,29
5,late outbreak,medium,10,outbreak,1,,sd,14,7.8,3.5,3.8,5.1,6.3,9.7,13,30,44
6,late outbreak,short,10,outbreak,1,,sd,3.4,2.5,1.4,1.5,1.9,2.2,3,3.9,6.5,8.8
7,near peak,long,10,outbreak,1,,sd,270000,6.7,2.2,2.5,3.8,5.1,9.4,16,77,210
8,near peak,medium,10,outbreak,1,,sd,32,3,1.5,1.7,2.2,2.6,3.6,4.8,9.3,14
