id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
35,past peak,medium,200,outbreak,1,,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
36,past peak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
37,early outbreak,long,400,outbreak,1,,meanlog,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
38,early outbreak,medium,400,outbreak,1,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
39,early outbreak,short,400,outbreak,1,,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
40,late outbreak,long,400,outbreak,1,,meanlog,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8
41,late outbreak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7
42,late outbreak,short,400,outbreak,1,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3
43,near peak,long,400,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5
44,near peak,medium,400,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5
45,near peak,short,400,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
46,past peak,long,400,outbreak,1,,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7
47,past peak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.7
48,past peak,short,400,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
49,decay,long,200,exponential,1,,meanlog,1.7,1.7,1.6,1.7,1.7,1.7,1.7,1.8,1.8,1.8
50,decay,medium,200,exponential,1,,meanlog,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5
51,decay,short,200,exponential,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3
52,fast decay,long,200,exponential,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.8
53,fast decay,medium,200,exponential,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
54,fast decay,short,200,exponential,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3
55,fast growth,long,200,exponential,1,,meanlog,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.4
56,fast growth,medium,200,exponential,1,,meanlog,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4
57,fast growth,short,200,exponential,1,,meanlog,1,1,0.97,0.99,1,1,1.1,1.1,1.1,1.1
58,growth,long,200,exponential,1,,meanlog,1.4,1.4,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5
59,growth,medium,200,exponential,1,,meanlog,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5
60,growth,short,200,exponential,1,,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2
61,stable,long,200,exponential,1,,meanlog,1.6,1.6,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.7
62,stable,medium,200,exponential,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
63,stable,short,200,exponential,1,,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2
64,120 days,,834,ebola_case_study,,real-time,meanlog,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6
65,120 days,,1032,ebola_case_study,,retrospective,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7
66,180 days,,3149,ebola_case_study,,real-time,meanlog,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
67,180 days,,3532,ebola_case_study,,retrospective,meanlog,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
68,240 days,,2399,ebola_case_study,,real-time,meanlog,1.5,1.5,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5
69,240 days,,2483,ebola_case_study,,retrospective,meanlog,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
70,60 days,,401,ebola_case_study,,real-time,meanlog,1.6,1.6,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6
71,60 days,,428,ebola_case_study,,retrospective,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6
1,early outbreak,long,10,outbreak,1,,sdlog,0.72,0.68,0.41,0.44,0.54,0.6,0.76,0.87,1.1,1.3
2,early outbreak,medium,10,outbreak,1,,sdlog,0.62,0.59,0.35,0.38,0.46,0.52,0.66,0.76,0.99,1.1
3,early outbreak,short,10,outbreak,1,,sdlog,0.64,0.6,0.38,0.4,0.49,0.55,0.67,0.77,0.99,1.1
4,late outbreak,long,10,outbreak,1,,sdlog,0.74,0.71,0.45,0.48,0.58,0.65,0.78,0.89,1.1,1.2
5,late outbreak,medium,10,outbreak,1,,sdlog,0.87,0.83,0.54,0.58,0.68,0.76,0.91,1,1.3,1.4
6,late outbreak,short,10,outbreak,1,,sdlog,0.55,0.51,0.31,0.33,0.4,0.46,0.57,0.67,0.88,1
7,near peak,long,10,outbreak,1,,sdlog,1.1,1,0.61,0.65,0.81,0.93,1.2,1.4,1.9,2.1
8,near peak,medium,10,outbreak,1,,sdlog,0.52,0.49,0.29,0.31,0.39,0.44,0.55,0.63,0.84,0.96
9,near peak,short,10,outbreak,1,,sdlog,0.25,0.23,0.11,0.12,0.16,0.2,0.26,0.31,0.45,0.51
10,past peak,long,10,outbreak,1,,sdlog,1.1,1,0.63,0.68,0.82,0.92,1.1,1.3,1.8,2
11,past peak,medium,10,outbreak,1,,sdlog,0.84,0.79,0.49,0.52,0.64,0.72,0.89,1,1.3,1.5
12,past peak,short,10,outbreak,1,,sdlog,0.67,0.63,0.39,0.41,0.5,0.57,0.7,0.8,1.1,1.2
13,early outbreak,long,100,outbreak,1,,sdlog,0.53,0.52,0.44,0.45,0.49,0.5,0.54,0.56,0.61,0.63
14,early outbreak,medium,100,outbreak,1,,sdlog,0.36,0.36,0.31,0.32,0.34,0.35,0.38,0.39,0.42,0.43
15,early outbreak,short,100,outbreak,1,,sdlog,0.42,0.42,0.35,0.36,0.39,0.4,0.43,0.45,0.49,0.5
16,late outbreak,long,100,outbreak,1,,sdlog,0.84,0.83,0.72,0.74,0.78,0.81,0.86,0.89,0.95,0.97
17,late outbreak,medium,100,outbreak,1,,sdlog,0.55,0.55,0.47,0.48,0.51,0.53,0.56,0.58,0.63,0.65
18,late outbreak,short,100,outbreak,1,,sdlog,0.41,0.4,0.34,0.35,0.38,0.39,0.42,0.44,0.47,0.48
19,near peak,long,100,outbreak,1,,sdlog,0.7,0.7,0.6,0.62,0.66,0.68,0.72,0.75,0.8,0.82
20,near peak,medium,100,outbreak,1,,sdlog,0.52,0.51,0.44,0.45,0.48,0.5,0.53,0.55,0.59,0.61
21,near peak,short,100,outbreak,1,,sdlog,0.34,0.34,0.28,0.29,0.31,0.33,0.35,0.37,0.4,0.41
22,past peak,long,100,outbreak,1,,sdlog,0.65,0.65,0.56,0.57,0.6,0.63,0.67,0.69,0.74,0.76
23,past peak,medium,100,outbreak,1,,sdlog,0.55,0.55,0.47,0.48,0.51,0.53,0.56,0.58,0.63,0.64
24,past peak,short,100,outbreak,1,,sdlog,0.35,0.34,0.29,0.29,0.32,0.33,0.36,0.37,0.4,0.42
25,early outbreak,long,200,outbreak,1,,sdlog,0.59,0.59,0.52,0.53,0.56,0.57,0.6,0.62,0.65,0.66
26,early outbreak,medium,200,outbreak,1,,sdlog,0.46,0.46,0.41,0.42,0.44,0.45,0.47,0.48,0.51,0.52
27,early outbreak,short,200,outbreak,1,,sdlog,0.33,0.33,0.29,0.29,0.31,0.32,0.34,0.35,0.37,0.38
28,late outbreak,long,200,outbreak,1,,sdlog,0.82,0.82,0.74,0.75,0.78,0.8,0.83,0.85,0.89,0.91
29,late outbreak,medium,200,outbreak,1,,sdlog,0.61,0.61,0.55,0.56,0.59,0.6,0.63,0.64,0.67,0.69
30,late outbreak,short,200,outbreak,1,,sdlog,0.4,0.4,0.36,0.36,0.38,0.39,0.41,0.42,0.44,0.45
31,near peak,long,200,outbreak,1,,sdlog,0.64,0.64,0.58,0.59,0.61,0.63,0.65,0.67,0.7,0.71
32,near peak,medium,200,outbreak,1,,sdlog,0.56,0.56,0.5,0.51,0.53,0.55,0.57,0.59,0.61,0.63
33,near peak,short,200,outbreak,1,,sdlog,0.31,0.31,0.27,0.27,0.29,0.3,0.32,0.33,0.34,0.35
34,past peak,long,200,outbreak,1,,sdlog,0.68,0.68,0.61,0.62,0.65,0.66,0.69,0.71,0.74,0.76
35,past peak,medium,200,outbreak,1,,sdlog,0.58,0.58,0.52,0.53,0.55,0.57,0.59,0.61,0.64,0.65
36,past peak,short,200,outbreak,1,,sdlog,0.38,0.38,0.34,0.35,0.36,0.37,0.39,0.4,0.43,0.44
37,early outbreak,long,400,outbreak,1,,sdlog,0.59,0.59,0.54,0.55,0.57,0.58,0.6,0.61,0.63,0.64
38,early outbreak,medium,400,outbreak,1,,sdlog,0.46,0.45,0.42,0.42,0.44,0.45,0.46,0.47,0.49,0.5
39,early outbreak,short,400,outbreak,1,,sdlog,0.34,0.34,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38
40,late outbreak,long,400,outbreak,1,,sdlog,0.75,0.74,0.69,0.7,0.72,0.73,0.75,0.77,0.8,0.8
41,late outbreak,medium,400,outbreak,1,,sdlog,0.61,0.6,0.56,0.57,0.59,0.6,0.61,0.62,0.65,0.65
42,late outbreak,short,400,outbreak,1,,sdlog,0.38,0.38,0.35,0.35,0.37,0.37,0.39,0.39,0.41,0.42
43,near peak,long,400,outbreak,1,,sdlog,0.65,0.65,0.6,0.61,0.63,0.64,0.66,0.67,0.69,0.7
44,near peak,medium,400,outbreak,1,,sdlog,0.51,0.51,0.47,0.48,0.49,0.5,0.52,0.53,0.55,0.55
45,near peak,short,400,outbreak,1,,sdlog,0.35,0.35,0.32,0.32,0.33,0.34,0.35,0.36,0.37,0.38
46,past peak,long,400,outbreak,1,,sdlog,0.71,0.71,0.66,0.66,0.69,0.7,0.72,0.73,0.76,0.77
47,past peak,medium,400,outbreak,1,,sdlog,0.54,0.53,0.5,0.5,0.52,0.53,0.54,0.55,0.57,0.58
48,past peak,short,400,outbreak,1,,sdlog,0.37,0.37,0.34,0.34,0.36,0.37,0.38,0.39,0.4,0.41
49,decay,long,200,exponential,1,,sdlog,0.66,0.65,0.59,0.6,0.63,0.64,0.67,0.69,0.72,0.73
50,decay,medium,200,exponential,1,,sdlog,0.59,0.59,0.53,0.54,0.56,0.57,0.6,0.62,0.65,0.66
51,decay,short,200,exponential,1,,sdlog,0.4,0.4,0.36,0.36,0.38,0.39,0.41,0.42,0.44,0.45
52,fast decay,long,200,exponential,1,,sdlog,0.74,0.74,0.67,0.68,0.71,0.73,0.76,0.77,0.81,0.82
53,fast decay,medium,200,exponential,1,,sdlog,0.57,0.57,0.51,0.52,0.54,0.55,0.58,0.59,0.62,0.63
54,fast decay,short,200,exponential,1,,sdlog,0.39,0.39,0.34,0.35,0.37,0.38,0.39,0.41,0.43,0.43
55,fast growth,long,200,exponential,1,,sdlog,0.64,0.64,0.57,0.59,0.61,0.63,0.66,0.68,0.71,0.72
56,fast growth,medium,200,exponential,1,,sdlog,0.51,0.51,0.46,0.47,0.49,0.5,0.52,0.54,0.57,0.58
57,fast growth,short,200,exponential,1,,sdlog,0.4,0.4,0.35,0.36,0.38,0.39,0.41,0.42,0.44,0.45
58,growth,long,200,exponential,1,,sdlog,0.67,0.67,0.6,0.61,0.64,0.66,0.69,0.7,0.74,0.75
59,growth,medium,200,exponential,1,,sdlog,0.5,0.5,0.45,0.46,0.48,0.49,0.51,0.53,0.55,0.56
60,growth,short,200,exponential,1,,sdlog,0.36,0.36,0.32,0.32,0.34,0.35,0.37,0.38,0.4,0.41
61,stable,long,200,exponential,1,,sdlog,0.64,0.64,0.58,0.59,0.61,0.63,0.65,0.67,0.7,0.72
62,stable,medium,200,exponential,1,,sdlog,0.55,0.55,0.5,0.5,0.53,0.54,0.56,0.58,0.61,0.62
63,stable,short,200,exponential,1,,sdlog,0.34,0.34,0.3,0.3,0.32,0.33,0.35,0.36,0.38,0.38
64,120 days,,834,ebola_case_study,,real-time,sdlog,0.53,0.53,0.51,0.51,0.52,0.53,0.54,0.54,0.56,0.56
65,120 days,,1032,ebola_case_study,,retrospective,sdlog,0.54,0.54,0.52,0.52,0.53,0.53,0.54,0.55,0.56,0.57
66,180 days,,3149,ebola_case_study,,real-time,sdlog,0.47,0.47,0.46,0.46,0.46,0.47,0.47,0.48,0.48,0.48
67,180 days,,3532,ebola_case_study,,retrospective,sdlog,0.49,0.49,0.48,0.48,0.49,0.49,0.5,0.5,0.5,0.51
68,240 days,,2399,ebola_case_study,,real-time,sdlog,0.57,0.57,0.55,0.56,0.56,0.57,0.57,0.58,0.59,0.59
69,240 days,,2483,ebola_case_study,,retrospective,sdlog,0.58,0.58,0.56,0.56,0.57,0.57,0.58,0.58,0.59,0.59
70,60 days,,401,ebola_case_study,,real-time,sdlog,0.44,0.44,0.41,0.41,0.42,0.43,0.44,0.45,0.47,0.47
71,60 days,,428,ebola_case_study,,retrospective,sdlog,0.47,0.47,0.44,0.44,0.46,0.46,0.48,0.49,0.5,0.51
1,early outbreak,long,10,outbreak,1,,mean,4.4,4,2.6,2.8,3.3,3.7,4.4,5.1,7.1,8.5
2,early outbreak,medium,10,outbreak,1,,mean,3.6,3.4,2.3,2.4,2.9,3.1,3.7,4.1,5.4,6.1
3,early outbreak,short,10,outbreak,1,,mean,3.9,3.7,2.5,2.7,3.1,3.4,4,4.5,6,6.8
4,late outbreak,long,10,outbreak,1,,mean,8.2,7.5,4.9,5.1,6.1,6.8,8.3,9.6,13,16
5,late outbreak,medium,10,outbreak,1,,mean,9.6,8,4.7,5.1,6.4,7.2,9.1,11,16,20
6,late outbreak,short,10,outbreak,1,,mean,4.1,3.9,2.8,2.9,3.3,3.6,4.2,4.6,5.8,6.5
7,near peak,long,10,outbreak,1,,mean,10,4.5,2.3,2.6,3.4,3.9,5.4,7.3,15,23
8,near peak,medium,10,outbreak,1,,mean,5.4,5.2,3.8,4,4.6,4.9,5.6,6.2,7.5,8.3
9,near peak,short,10,outbreak,1,,mean,3.4,3.4,2.8,2.9,3.2,3.3,3.5,3.7,4,4.2
10,past peak,long,10,outbreak,1,,mean,63,10,5.4,6,7.8,9,12,16,32,51
11,past peak,medium,10,outbreak,1,,mean,6,5.3,3.2,3.4,4.2,4.7,5.9,7.1,11,13
12,past peak,short,10,outbreak,1,,mean,4,3.7,2.5,2.7,3.1,3.4,4.1,4.6,6.2,7.1
13,early outbreak,long,100,outbreak,1,,mean,3.8,3.8,3.4,3.4,3.6,3.7,3.9,4,4.2,4.2
14,early outbreak,medium,100,outbreak,1,,mean,3.7,3.7,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1
15,early outbreak,short,100,outbreak,1,,mean,3.3,3.3,3,3,3.2,3.2,3.3,3.4,3.6,3.6
16,late outbreak,long,100,outbreak,1,,mean,8.3,8.2,6.9,7.1,7.6,7.9,8.6,8.9,9.7,10
17,late outbreak,medium,100,outbreak,1,,mean,6.3,6.2,5.6,5.7,5.9,6.1,6.4,6.6,6.9,7.1
18,late outbreak,short,100,outbreak,1,,mean,3.7,3.7,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1
19,near peak,long,100,outbreak,1,,mean,5.2,5.2,4.4,4.6,4.8,5,5.3,5.6,6,6.1
20,near peak,medium,100,outbreak,1,,mean,5.1,5.1,4.6,4.7,4.9,5,5.2,5.4,5.6,5.7
21,near peak,short,100,outbreak,1,,mean,3.5,3.5,3.2,3.3,3.4,3.4,3.6,3.6,3.7,3.8
22,past peak,long,100,outbreak,1,,mean,6.8,6.8,6,6.1,6.4,6.6,7,7.3,7.7,7.9
23,past peak,medium,100,outbreak,1,,mean,5.8,5.8,5.2,5.3,5.5,5.7,5.9,6.1,6.4,6.6
24,past peak,short,100,outbreak,1,,mean,3.5,3.5,3.2,3.3,3.4,3.4,3.5,3.6,3.7,3.8
25,early outbreak,long,200,outbreak,1,,mean,4.3,4.3,3.9,4,4.1,4.2,4.4,4.5,4.6,4.7
26,early outbreak,medium,200,outbreak,1,,mean,3.8,3.8,3.6,3.6,3.7,3.8,3.9,3.9,4.1,4.1
27,early outbreak,short,200,outbreak,1,,mean,3.1,3.1,2.9,3,3,3.1,3.1,3.2,3.3,3.3
28,late outbreak,long,200,outbreak,1,,mean,7.2,7.2,6.3,6.4,6.8,7,7.4,7.6,8,8.2
29,late outbreak,medium,200,outbreak,1,,mean,6.3,6.3,5.7,5.8,6,6.1,6.4,6.5,6.8,6.9
30,late outbreak,short,200,outbreak,1,,mean,3.6,3.6,3.4,3.4,3.5,3.5,3.6,3.7,3.8,3.8
31,near peak,long,200,outbreak,1,,mean,6.1,6.1,5.5,5.6,5.8,6,6.2,6.4,6.6,6.7
32,near peak,medium,200,outbreak,1,,mean,5.5,5.5,5.1,5.1,5.3,5.4,5.6,5.7,5.9,6
33,near peak,short,200,outbreak,1,,mean,3.4,3.4,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.5
34,past peak,long,200,outbreak,1,,mean,6.9,6.9,6.2,6.3,6.6,6.7,7,7.2,7.5,7.7
35,past peak,medium,200,outbreak,1,,mean,6.2,6.1,5.6,5.7,5.9,6,6.3,6.4,6.6,6.7
36,past peak,short,200,outbreak,1,,mean,3.4,3.4,3.2,3.3,3.3,3.4,3.5,3.5,3.6,3.7
37,early outbreak,long,400,outbreak,1,,mean,4.2,4.2,3.9,3.9,4,4.1,4.2,4.3,4.4,4.4
38,early outbreak,medium,400,outbreak,1,,mean,3.9,3.9,3.7,3.7,3.8,3.8,3.9,4,4,4.1
39,early outbreak,short,400,outbreak,1,,mean,3.2,3.2,3,3.1,3.1,3.1,3.2,3.2,3.3,3.3
40,late outbreak,long,400,outbreak,1,,mean,7.5,7.5,6.9,7.1,7.3,7.4,7.7,7.8,8.1,8.2
41,late outbreak,medium,400,outbreak,1,,mean,5.9,5.9,5.5,5.6,5.7,5.8,5.9,6,6.2,6.3
42,late outbreak,short,400,outbreak,1,,mean,3.7,3.7,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.8
43,near peak,long,400,outbreak,1,,mean,5.4,5.4,5,5.1,5.3,5.3,5.5,5.6,5.8,5.8
44,near peak,medium,400,outbreak,1,,mean,5,5,4.7,4.7,4.8,4.9,5,5.1,5.2,5.3
45,near peak,short,400,outbreak,1,,mean,3.4,3.4,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.6
46,past peak,long,400,outbreak,1,,mean,6.6,6.6,6.1,6.1,6.3,6.5,6.7,6.8,7,7.1
47,past peak,medium,400,outbreak,1,,mean,5.7,5.7,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1
48,past peak,short,400,outbreak,1,,mean,3.5,3.5,3.4,3.4,3.4,3.5,3.5,3.6,3.6,3.7
49,decay,long,200,exponential,1,,mean,7,7,6.4,6.5,6.7,6.9,7.1,7.3,7.6,7.8
50,decay,medium,200,exponential,1,,mean,5,5,4.5,4.6,4.8,4.9,5.1,5.2,5.4,5.5
51,decay,short,200,exponential,1,,mean,3.6,3.6,3.4,3.4,3.5,3.5,3.6,3.7,3.8,3.8
52,fast decay,long,200,exponential,1,,mean,7.5,7.5,6.7,6.8,7.1,7.3,7.7,7.9,8.3,8.4
53,fast decay,medium,200,exponential,1,,mean,5.8,5.8,5.4,5.4,5.6,5.7,5.9,6.1,6.3,6.4
54,fast decay,short,200,exponential,1,,mean,3.5,3.5,3.3,3.4,3.5,3.5,3.6,3.6,3.7,3.8
55,fast growth,long,200,exponential,1,,mean,4.3,4.3,3.9,4,4.1,4.2,4.4,4.5,4.7,4.8
56,fast growth,medium,200,exponential,1,,mean,4.3,4.3,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7
57,fast growth,short,200,exponential,1,,mean,3.1,3.1,2.9,2.9,3,3,3.1,3.1,3.2,3.3
58,growth,long,200,exponential,1,,mean,5,5,4.5,4.6,4.8,4.9,5.1,5.3,5.5,5.6
59,growth,medium,200,exponential,1,,mean,4.6,4.6,4.2,4.3,4.4,4.5,4.6,4.7,4.9,4.9
60,growth,short,200,exponential,1,,mean,3.3,3.3,3.1,3.1,3.2,3.3,3.3,3.4,3.5,3.5
61,stable,long,200,exponential,1,,mean,6.3,6.3,5.7,5.8,6.1,6.2,6.4,6.6,6.8,7
62,stable,medium,200,exponential,1,,mean,5.8,5.8,5.4,5.4,5.6,5.7,5.9,6,6.2,6.3
63,stable,short,200,exponential,1,,mean,3.3,3.3,3.1,3.2,3.2,3.3,3.3,3.4,3.4,3.5
64,120 days,,834,ebola_case_study,,real-time,mean,5.6,5.6,5.4,5.5,5.5,5.6,5.7,5.7,5.8,5.9
65,120 days,,1032,ebola_case_study,,retrospective,mean,6.1,6.1,5.9,5.9,6,6,6.1,6.2,6.3,6.3
66,180 days,,3149,ebola_case_study,,real-time,mean,6.8,6.8,6.6,6.7,6.7,6.7,6.8,6.8,6.9,6.9
67,180 days,,3532,ebola_case_study,,retrospective,mean,7,7,6.8,6.9,6.9,6.9,7,7,7.1,7.1
68,240 days,,2399,ebola_case_study,,real-time,mean,5.1,5.1,5,5,5.1,5.1,5.2,5.2,5.2,5.3
69,240 days,,2483,ebola_case_study,,retrospective,mean,5.2,5.2,5.1,5.1,5.1,5.2,5.2,5.2,5.3,5.3
70,60 days,,401,ebola_case_study,,real-time,mean,5.2,5.2,5,5,5.1,5.2,5.3,5.3,5.4,5.5
71,60 days,,428,ebola_case_study,,retrospective,mean,5.5,5.4,5.2,5.2,5.3,5.4,5.5,5.6,5.7,5.7
1,early outbreak,long,10,outbreak,1,,sd,5.4,3,1.4,1.6,2,2.5,3.7,4.9,10,14
2,early outbreak,medium,10,outbreak,1,,sd,2.8,2.1,1.1,1.2,1.5,1.8,2.6,3.3,6,8
3,early outbreak,short,10,outbreak,1,,sd,3.2,2.4,1.2,1.3,1.7,2.1,2.9,3.7,6.6,9.2
4,late outbreak,long,10,outbreak,1,,sd,8.2,5.9,2.8,3.1,4.1,5,7.3,9.7,18,25
5,late outbreak,medium,10,outbreak,1,,sd,91,7.9,3.6,3.9,5.3,6.5,9.8,14,31,47
6,late outbreak,short,10,outbreak,1,,sd,4.9,2.1,1.1,1.2,1.5,1.8,2.5,3.2,5.5,7.6
7,near peak,long,10,outbreak,1,,sd,5800,6.2,2.1,2.4,3.5,4.7,8.7,16,79,170
8,near peak,medium,10,outbreak,1,,sd,3.3,2.7,1.4,1.5,2,2.3,3.2,4.1,6.6,8.8
