id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
37,early outbreak,long,400,outbreak,1,,meanlog,2,2,1.7,1.7,1.8,1.9,2,2.1,2.3,2.4
38,early outbreak,medium,400,outbreak,1,,meanlog,1.5,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6
39,early outbreak,short,400,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
40,late outbreak,long,400,outbreak,1,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.9
41,late outbreak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7
42,late outbreak,short,400,outbreak,1,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3
43,near peak,long,400,outbreak,1,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2
44,near peak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
45,near peak,short,400,outbreak,1,,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
46,past peak,long,400,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.8,1.8
47,past peak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7
48,past peak,short,400,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
49,decay,long,200,exponential,1,,meanlog,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.9,1.9,1.9
50,decay,medium,200,exponential,1,,meanlog,1.5,1.5,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.6
51,decay,short,200,exponential,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
52,fast decay,long,200,exponential,1,,meanlog,1.8,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2
53,fast decay,medium,200,exponential,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7
54,fast decay,short,200,exponential,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
55,fast growth,long,200,exponential,1,,meanlog,2,2,1.7,1.7,1.8,1.9,2.1,2.2,2.5,2.6
56,fast growth,medium,200,exponential,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.8,1.8,1.9,2
57,fast growth,short,200,exponential,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
58,growth,long,200,exponential,1,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.9,2,2.1
59,growth,medium,200,exponential,1,,meanlog,1.6,1.6,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.7
60,growth,short,200,exponential,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
61,stable,long,200,exponential,1,,meanlog,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2
62,stable,medium,200,exponential,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8
63,stable,short,200,exponential,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
64,120 days,,834,ebola_case_study,,real-time,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
65,120 days,,1032,ebola_case_study,,retrospective,meanlog,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
66,180 days,,3149,ebola_case_study,,real-time,meanlog,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9
67,180 days,,3532,ebola_case_study,,retrospective,meanlog,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
68,240 days,,2399,ebola_case_study,,real-time,meanlog,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
69,240 days,,2483,ebola_case_study,,retrospective,meanlog,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
70,60 days,,401,ebola_case_study,,real-time,meanlog,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7
71,60 days,,428,ebola_case_study,,retrospective,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6
1,early outbreak,long,10,outbreak,1,,sdlog,1.3,1.1,0.56,0.61,0.83,0.97,1.3,1.6,2.3,2.7
2,early outbreak,medium,10,outbreak,1,,sdlog,1.2,1,0.45,0.51,0.69,0.85,1.3,1.6,2.4,2.8
3,early outbreak,short,10,outbreak,1,,sdlog,1,0.88,0.44,0.48,0.63,0.75,1.1,1.3,2,2.3
4,late outbreak,long,10,outbreak,1,,sdlog,0.88,0.78,0.47,0.5,0.61,0.7,0.89,1.1,1.6,2
5,late outbreak,medium,10,outbreak,1,,sdlog,1.1,0.97,0.56,0.6,0.74,0.85,1.1,1.4,2.2,2.6
6,late outbreak,short,10,outbreak,1,,sdlog,0.57,0.54,0.34,0.36,0.44,0.49,0.6,0.68,0.89,0.99
7,near peak,long,10,outbreak,1,,sdlog,1.7,1.5,0.78,0.85,1.1,1.3,1.9,2.2,3.2,3.7
8,near peak,medium,10,outbreak,1,,sdlog,0.87,0.73,0.38,0.41,0.52,0.61,0.88,1.1,1.8,2.1
9,near peak,short,10,outbreak,1,,sdlog,0.3,0.28,0.15,0.17,0.21,0.25,0.32,0.37,0.51,0.57
10,past peak,long,10,outbreak,1,,sdlog,1.8,1.6,0.77,0.85,1.1,1.3,1.9,2.3,3.3,3.9
11,past peak,medium,10,outbreak,1,,sdlog,1.3,1.1,0.56,0.62,0.78,0.92,1.3,1.6,2.6,3
12,past peak,short,10,outbreak,1,,sdlog,0.81,0.72,0.42,0.45,0.55,0.63,0.82,0.98,1.4,1.8
13,early outbreak,long,100,outbreak,1,,sdlog,0.72,0.71,0.56,0.57,0.63,0.67,0.75,0.8,0.93,1
14,early outbreak,medium,100,outbreak,1,,sdlog,0.45,0.45,0.37,0.38,0.41,0.43,0.47,0.49,0.54,0.57
15,early outbreak,short,100,outbreak,1,,sdlog,0.51,0.5,0.41,0.43,0.46,0.48,0.52,0.55,0.61,0.63
16,late outbreak,long,100,outbreak,1,,sdlog,0.92,0.91,0.77,0.79,0.84,0.88,0.95,0.99,1.1,1.1
17,late outbreak,medium,100,outbreak,1,,sdlog,0.57,0.57,0.49,0.5,0.53,0.55,0.59,0.61,0.66,0.68
18,late outbreak,short,100,outbreak,1,,sdlog,0.42,0.42,0.36,0.37,0.4,0.41,0.44,0.45,0.48,0.49
19,near peak,long,100,outbreak,1,,sdlog,0.95,0.93,0.74,0.77,0.84,0.88,0.98,1,1.2,1.2
20,near peak,medium,100,outbreak,1,,sdlog,0.59,0.58,0.49,0.5,0.54,0.56,0.61,0.64,0.7,0.73
21,near peak,short,100,outbreak,1,,sdlog,0.37,0.37,0.31,0.32,0.34,0.36,0.38,0.4,0.43,0.44
22,past peak,long,100,outbreak,1,,sdlog,0.73,0.72,0.61,0.62,0.67,0.7,0.75,0.78,0.86,0.89
23,past peak,medium,100,outbreak,1,,sdlog,0.58,0.57,0.49,0.51,0.54,0.56,0.59,0.62,0.67,0.69
24,past peak,short,100,outbreak,1,,sdlog,0.38,0.37,0.32,0.33,0.35,0.36,0.39,0.4,0.43,0.44
25,early outbreak,long,200,outbreak,1,,sdlog,0.88,0.87,0.7,0.72,0.79,0.83,0.91,0.97,1.1,1.1
26,early outbreak,medium,200,outbreak,1,,sdlog,0.59,0.58,0.49,0.51,0.54,0.56,0.61,0.63,0.69,0.71
27,early outbreak,short,200,outbreak,1,,sdlog,0.38,0.38,0.33,0.34,0.36,0.37,0.39,0.4,0.43,0.43
28,late outbreak,long,200,outbreak,1,,sdlog,0.88,0.88,0.78,0.79,0.83,0.85,0.9,0.93,0.97,1
29,late outbreak,medium,200,outbreak,1,,sdlog,0.63,0.63,0.57,0.58,0.6,0.62,0.64,0.66,0.69,0.7
30,late outbreak,short,200,outbreak,1,,sdlog,0.42,0.42,0.37,0.38,0.4,0.41,0.42,0.44,0.46,0.47
31,near peak,long,200,outbreak,1,,sdlog,0.82,0.81,0.68,0.7,0.75,0.78,0.84,0.88,0.97,1
32,near peak,medium,200,outbreak,1,,sdlog,0.68,0.67,0.58,0.59,0.63,0.65,0.69,0.72,0.77,0.79
33,near peak,short,200,outbreak,1,,sdlog,0.35,0.35,0.31,0.31,0.33,0.34,0.35,0.37,0.38,0.39
34,past peak,long,200,outbreak,1,,sdlog,0.75,0.75,0.66,0.68,0.71,0.73,0.77,0.79,0.84,0.86
35,past peak,medium,200,outbreak,1,,sdlog,0.62,0.62,0.55,0.56,0.59,0.6,0.63,0.65,0.68,0.7
36,past peak,short,200,outbreak,1,,sdlog,0.41,0.41,0.36,0.37,0.39,0.4,0.42,0.43,0.45,0.46
37,early outbreak,long,400,outbreak,1,,sdlog,0.89,0.89,0.75,0.77,0.82,0.86,0.92,0.96,1,1.1
38,early outbreak,medium,400,outbreak,1,,sdlog,0.55,0.55,0.49,0.5,0.52,0.54,0.56,0.57,0.6,0.61
39,early outbreak,short,400,outbreak,1,,sdlog,0.4,0.4,0.36,0.37,0.38,0.39,0.41,0.42,0.43,0.44
40,late outbreak,long,400,outbreak,1,,sdlog,0.78,0.78,0.72,0.73,0.76,0.77,0.8,0.81,0.84,0.85
41,late outbreak,medium,400,outbreak,1,,sdlog,0.62,0.62,0.58,0.58,0.6,0.61,0.63,0.64,0.66,0.67
42,late outbreak,short,400,outbreak,1,,sdlog,0.4,0.4,0.37,0.37,0.39,0.39,0.41,0.41,0.43,0.43
43,near peak,long,400,outbreak,1,,sdlog,0.83,0.83,0.74,0.75,0.79,0.81,0.85,0.87,0.92,0.94
44,near peak,medium,400,outbreak,1,,sdlog,0.58,0.58,0.53,0.54,0.56,0.57,0.59,0.6,0.63,0.64
45,near peak,short,400,outbreak,1,,sdlog,0.38,0.38,0.35,0.35,0.36,0.37,0.38,0.39,0.4,0.41
46,past peak,long,400,outbreak,1,,sdlog,0.81,0.8,0.73,0.74,0.77,0.79,0.82,0.84,0.87,0.89
47,past peak,medium,400,outbreak,1,,sdlog,0.56,0.56,0.52,0.52,0.54,0.55,0.57,0.58,0.6,0.61
48,past peak,short,400,outbreak,1,,sdlog,0.39,0.39,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43
49,decay,long,200,exponential,1,,sdlog,0.74,0.73,0.65,0.66,0.69,0.71,0.75,0.78,0.83,0.85
50,decay,medium,200,exponential,1,,sdlog,0.62,0.62,0.55,0.56,0.59,0.61,0.64,0.66,0.69,0.7
51,decay,short,200,exponential,1,,sdlog,0.43,0.43,0.38,0.39,0.41,0.42,0.44,0.45,0.47,0.48
52,fast decay,long,200,exponential,1,,sdlog,0.85,0.84,0.74,0.76,0.79,0.82,0.87,0.89,0.95,0.98
53,fast decay,medium,200,exponential,1,,sdlog,0.59,0.58,0.53,0.53,0.56,0.57,0.6,0.61,0.64,0.66
54,fast decay,short,200,exponential,1,,sdlog,0.41,0.41,0.36,0.37,0.39,0.4,0.41,0.43,0.45,0.46
55,fast growth,long,200,exponential,1,,sdlog,0.92,0.91,0.75,0.77,0.83,0.87,0.95,1,1.1,1.2
56,fast growth,medium,200,exponential,1,,sdlog,0.65,0.64,0.55,0.56,0.6,0.62,0.67,0.7,0.75,0.78
57,fast growth,short,200,exponential,1,,sdlog,0.45,0.45,0.39,0.4,0.42,0.43,0.46,0.47,0.5,0.51
58,growth,long,200,exponential,1,,sdlog,0.87,0.86,0.73,0.75,0.8,0.83,0.89,0.93,1,1.1
59,growth,medium,200,exponential,1,,sdlog,0.57,0.56,0.5,0.51,0.53,0.55,0.58,0.6,0.63,0.65
60,growth,short,200,exponential,1,,sdlog,0.4,0.4,0.35,0.36,0.38,0.39,0.41,0.42,0.44,0.45
61,stable,long,200,exponential,1,,sdlog,0.72,0.71,0.62,0.64,0.67,0.69,0.73,0.76,0.81,0.83
62,stable,medium,200,exponential,1,,sdlog,0.6,0.6,0.53,0.54,0.57,0.59,0.62,0.64,0.67,0.68
63,stable,short,200,exponential,1,,sdlog,0.36,0.36,0.32,0.33,0.34,0.35,0.37,0.38,0.4,0.41
64,120 days,,834,ebola_case_study,,real-time,sdlog,0.58,0.58,0.55,0.55,0.57,0.57,0.59,0.6,0.61,0.62
65,120 days,,1032,ebola_case_study,,retrospective,sdlog,0.55,0.55,0.53,0.53,0.54,0.55,0.56,0.56,0.58,0.58
66,180 days,,3149,ebola_case_study,,real-time,sdlog,0.49,0.49,0.47,0.48,0.48,0.48,0.49,0.49,0.5,0.5
67,180 days,,3532,ebola_case_study,,retrospective,sdlog,0.5,0.5,0.49,0.49,0.5,0.5,0.5,0.51,0.51,0.51
68,240 days,,2399,ebola_case_study,,real-time,sdlog,0.6,0.6,0.58,0.58,0.59,0.6,0.6,0.61,0.62,0.62
69,240 days,,2483,ebola_case_study,,retrospective,sdlog,0.6,0.6,0.58,0.58,0.59,0.59,0.6,0.6,0.61,0.61
70,60 days,,401,ebola_case_study,,real-time,sdlog,0.45,0.45,0.42,0.42,0.44,0.45,0.46,0.47,0.48,0.49
71,60 days,,428,ebola_case_study,,retrospective,sdlog,0.48,0.48,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52
1,early outbreak,long,10,outbreak,1,,mean,1.9e+27,55,5.6,6.8,14,26,160,950,360000,4e+07
2,early outbreak,medium,10,outbreak,1,,mean,1.6e+17,9.1,2.8,3,4.1,5.8,18,72,4200,47000
3,early outbreak,short,10,outbreak,1,,mean,3700000,11,3.6,3.9,5.4,7.2,19,58,2000,16000
4,late outbreak,long,10,outbreak,1,,mean,470000,8.1,4.9,5.2,6.4,7.2,9.4,12,37,98
5,late outbreak,medium,10,outbreak,1,,mean,6000,11,5.2,5.7,7.3,8.8,14,26,290,1300
6,late outbreak,short,10,outbreak,1,,mean,4.1,3.9,2.8,3,3.4,3.7,4.2,4.6,5.8,6.6
7,near peak,long,10,outbreak,1,,mean,1.6e+14,20,3.2,3.7,6.4,10,56,290,21000,280000
8,near peak,medium,10,outbreak,1,,mean,3e+07,8.4,4.4,4.7,5.7,6.7,12,28,420,1900
9,near peak,short,10,outbreak,1,,mean,3.5,3.4,2.8,2.9,3.2,3.3,3.6,3.8,4.3,4.6
10,past peak,long,10,outbreak,1,,mean,1.7e+21,44,7.2,8.4,14,23,120,600,170000,7400000
11,past peak,medium,10,outbreak,1,,mean,2.6e+14,9.8,3.8,4.2,5.6,7.2,16,43,2000,29000
12,past peak,short,10,outbreak,1,,mean,1900,4.5,2.7,2.9,3.5,3.9,5.2,6.7,18,43
13,early outbreak,long,100,outbreak,1,,mean,7.5,6.5,4.7,4.9,5.5,6,7.2,8.2,12,15
14,early outbreak,medium,100,outbreak,1,,mean,4.3,4.3,3.8,3.9,4.1,4.2,4.4,4.6,5,5.2
15,early outbreak,short,100,outbreak,1,,mean,4,3.9,3.4,3.5,3.7,3.8,4.1,4.3,4.7,4.9
16,late outbreak,long,100,outbreak,1,,mean,9.7,9.5,7.5,7.7,8.5,9,10,11,13,14
17,late outbreak,medium,100,outbreak,1,,mean,6.4,6.3,5.6,5.7,6,6.2,6.5,6.7,7.1,7.3
18,late outbreak,short,100,outbreak,1,,mean,3.7,3.7,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1
19,near peak,long,100,outbreak,1,,mean,10,9.1,6.2,6.5,7.4,8.2,10,12,17,20
20,near peak,medium,100,outbreak,1,,mean,6.2,6.1,5.2,5.3,5.7,5.9,6.3,6.7,7.4,7.9
21,near peak,short,100,outbreak,1,,mean,3.6,3.6,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4
22,past peak,long,100,outbreak,1,,mean,7.9,7.7,6.4,6.6,7.1,7.4,8.1,8.6,9.6,10
23,past peak,medium,100,outbreak,1,,mean,6.2,6.1,5.4,5.5,5.8,6,6.3,6.5,7,7.2
24,past peak,short,100,outbreak,1,,mean,3.5,3.5,3.2,3.3,3.4,3.4,3.6,3.6,3.8,3.8
25,early outbreak,long,200,outbreak,1,,mean,12,11,6.9,7.3,8.5,9.5,12,15,23,28
26,early outbreak,medium,200,outbreak,1,,mean,5.5,5.4,4.6,4.7,5,5.2,5.7,6,6.8,7.2
27,early outbreak,short,200,outbreak,1,,mean,3.4,3.4,3.2,3.2,3.3,3.4,3.5,3.5,3.6,3.7
28,late outbreak,long,200,outbreak,1,,mean,7.9,7.8,6.7,6.9,7.3,7.6,8.1,8.5,9.2,9.6
29,late outbreak,medium,200,outbreak,1,,mean,6.4,6.4,5.8,5.9,6.1,6.2,6.5,6.7,7,7.1
30,late outbreak,short,200,outbreak,1,,mean,3.6,3.6,3.4,3.4,3.5,3.5,3.6,3.7,3.8,3.8
31,near peak,long,200,outbreak,1,,mean,11,10,7.7,8,8.8,9.5,11,12,15,16
32,near peak,medium,200,outbreak,1,,mean,7.3,7.2,6.1,6.2,6.6,6.9,7.4,7.8,8.6,9
33,near peak,short,200,outbreak,1,,mean,3.4,3.4,3.2,3.3,3.4,3.4,3.5,3.5,3.6,3.6
34,past peak,long,200,outbreak,1,,mean,7.8,7.7,6.8,6.9,7.3,7.5,8,8.3,9,9.3
35,past peak,medium,200,outbreak,1,,mean,6.6,6.6,5.9,6,6.3,6.4,6.7,6.9,7.3,7.4
36,past peak,short,200,outbreak,1,,mean,3.5,3.5,3.3,3.3,3.4,3.4,3.5,3.6,3.7,3.7
37,early outbreak,long,400,outbreak,1,,mean,11,11,7.3,7.7,8.8,9.7,12,13,18,20
38,early outbreak,medium,400,outbreak,1,,mean,5.1,5.1,4.6,4.7,4.8,5,5.2,5.3,5.6,5.8
39,early outbreak,short,400,outbreak,1,,mean,3.5,3.5,3.3,3.3,3.4,3.5,3.5,3.6,3.7,3.7
40,late outbreak,long,400,outbreak,1,,mean,8,8,7.3,7.4,7.7,7.8,8.1,8.3,8.7,8.9
41,late outbreak,medium,400,outbreak,1,,mean,6,6,5.6,5.6,5.8,5.9,6.1,6.2,6.3,6.4
42,late outbreak,short,400,outbreak,1,,mean,3.7,3.7,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.8
43,near peak,long,400,outbreak,1,,mean,8.6,8.5,7.1,7.3,7.8,8.1,8.8,9.3,10,11
44,near peak,medium,400,outbreak,1,,mean,5.8,5.8,5.3,5.4,5.6,5.7,5.9,6,6.3,6.4
45,near peak,short,400,outbreak,1,,mean,3.6,3.6,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.7
46,past peak,long,400,outbreak,1,,mean,7.7,7.6,6.8,6.9,7.2,7.4,7.8,8.1,8.5,8.8
47,past peak,medium,400,outbreak,1,,mean,6,6,5.6,5.7,5.8,5.9,6,6.1,6.3,6.4
48,past peak,short,400,outbreak,1,,mean,3.5,3.5,3.4,3.4,3.4,3.5,3.5,3.6,3.6,3.7
49,decay,long,200,exponential,1,,mean,8.2,8.1,7,7.2,7.6,7.8,8.4,8.7,9.4,9.8
50,decay,medium,200,exponential,1,,mean,5.2,5.2,4.7,4.8,5,5.1,5.3,5.5,5.8,5.9
51,decay,short,200,exponential,1,,mean,3.6,3.6,3.4,3.4,3.5,3.6,3.6,3.7,3.8,3.8
52,fast decay,long,200,exponential,1,,mean,9.1,9,7.5,7.7,8.3,8.7,9.3,9.9,11,12
53,fast decay,medium,200,exponential,1,,mean,6,6,5.5,5.5,5.7,5.9,6.1,6.2,6.5,6.6
54,fast decay,short,200,exponential,1,,mean,3.5,3.5,3.3,3.4,3.5,3.5,3.6,3.6,3.7,3.8
55,fast growth,long,200,exponential,1,,mean,13,11,7.1,7.5,8.8,9.8,12,14,22,27
56,fast growth,medium,200,exponential,1,,mean,7,6.8,5.6,5.7,6.2,6.5,7.2,7.7,8.9,9.5
57,fast growth,short,200,exponential,1,,mean,3.5,3.5,3.2,3.3,3.4,3.4,3.6,3.6,3.8,3.8
58,growth,long,200,exponential,1,,mean,9.1,8.7,6.6,6.8,7.6,8.1,9.3,10,13,14
59,growth,medium,200,exponential,1,,mean,5.6,5.5,4.9,5,5.2,5.4,5.7,5.9,6.2,6.4
60,growth,short,200,exponential,1,,mean,3.5,3.5,3.3,3.3,3.4,3.5,3.6,3.6,3.8,3.8
61,stable,long,200,exponential,1,,mean,8,7.9,6.8,7,7.4,7.7,8.2,8.6,9.4,9.8
62,stable,medium,200,exponential,1,,mean,6.5,6.5,5.8,5.9,6.2,6.3,6.6,6.8,7.3,7.4
63,stable,short,200,exponential,1,,mean,3.4,3.4,3.2,3.3,3.3,3.4,3.5,3.5,3.6,3.6
64,120 days,,834,ebola_case_study,,real-time,mean,6.2,6.1,5.9,5.9,6,6.1,6.2,6.3,6.4,6.5
65,120 days,,1032,ebola_case_study,,retrospective,mean,6.1,6.1,5.9,5.9,6,6.1,6.2,6.2,6.3,6.3
66,180 days,,3149,ebola_case_study,,real-time,mean,7.1,7.1,7,7,7.1,7.1,7.2,7.2,7.3,7.3
67,180 days,,3532,ebola_case_study,,retrospective,mean,7,7,6.9,6.9,6.9,7,7,7,7.1,7.1
68,240 days,,2399,ebola_case_study,,real-time,mean,5.3,5.3,5.2,5.2,5.3,5.3,5.3,5.4,5.4,5.5
69,240 days,,2483,ebola_case_study,,retrospective,mean,5.2,5.2,5.1,5.1,5.2,5.2,5.2,5.3,5.3,5.4
70,60 days,,401,ebola_case_study,,real-time,mean,5.5,5.5,5.2,5.3,5.4,5.4,5.5,5.6,5.7,5.8
71,60 days,,428,ebola_case_study,,retrospective,mean,5.5,5.5,5.2,5.3,5.4,5.4,5.5,5.6,5.7,5.8
1,early outbreak,long,10,outbreak,1,,sd,1.5e+34,89,3.7,5.1,14,34,320,2900,4e+06,1e+09
2,early outbreak,medium,10,outbreak,1,,sd,9.6e+26,12,1.5,1.8,3.2,5.8,36,230,74000,3400000
3,early outbreak,short,10,outbreak,1,,sd,1e+09,12,1.9,2.2,3.8,6.4,26,130,13000,240000
4,late outbreak,long,10,outbreak,1,,sd,8.2e+10,7.2,3,3.3,4.5,5.7,10,17,120,530
5,late outbreak,medium,10,outbreak,1,,sd,1.2e+07,13,3.8,4.3,6.5,9,23,63,2600,33000
6,late outbreak,short,10,outbreak,1,,sd,2.8,2.2,1.2,1.3,1.7,1.9,2.6,3.3,5.5,7.5
7,near peak,long,10,outbreak,1,,sd,5.9e+25,67,3.3,4.1,10,23,310,3400,3600000,2.6e+08
8,near peak,medium,10,outbreak,1,,sd,1.2e+14,6.7,2,2.2,3.2,4.6,13,42,2100,15000
9,near peak,short,10,outbreak,1,,sd,1.3,0.97,0.51,0.56,0.72,0.84,1.1,1.4,2.1,2.6
10,past peak,long,10,outbreak,1,,sd,1.4e+38,140,7.6,9.6,22,51,620,8100,3.9e+07,1.3e+10
